TEMPERATURE,DISSOLVED OXYGEN,PH,TURBIDITY,NITRATES,FECAL COLIFORM 
29,7.2,7.2,2.1,0.14,33
24,7,7.1,1.9,0.08,47
24,7,7.5,1.7,0.06,32
29,7.4,7,15.6,0.15,76
29,7.2,7.3,2.9,0.08,46
24,7.1,7.4,1.8,0.07,34
29,7.2,6.9,3.8,0.07,44
26,6.7,7.6,3.3,0.16,90
27,6.7,7.6,4.1,0.15,92
32,0.2,7.2,185.8,1.75,180000000
 ,6.8,8,3.1,0.88, 
21,5.5,7.4,8.8,5.08,1400
24,5.5,7.4,25,6.8,32000
21,5.3,7.3,9.9,5,2150
24,5.1,7.4,21.9,6.63,36250
21,5.3,7.5,13.5,5.08,20000
18,4.9,7.4,17.5,4.77,22000
22,4.3,7.5,24.5,7.65,33750
22,4.8,7.4,26,8.6,31750
21,5.1,7.4,16,14.85,3475
24,5.3,7.4,26.9,8.1,36250
22,4.9,7.4,27.8,6.78,19000
22,5.2,7.4,20.5,6.18,14750
 ,6.4,7.9,21,5.9, 
 ,6.6,7.8,18, , 
 ,6.4,8,19.5, , 
33,4.8,7.5,2.4,0.72,3
20,7.7,7.4,1.2,0.37,9
20,7.3,7,1.4,0.38,13
20,7.1,7.7,1.5,0.34,13
20,3.3,7.5,185,1.75, 
18,6.2,7.5,41.5,4.08,105
24,6,8.3,1.4,0.43,5
19,5.9,7.3,1.5,0.36,4
23,6.4,8,1.2,0.35,5
24,5.9,7.9,1.5,0.48,4
23,7.3,7.4,2.1,0.58, 
28,8.5,7.5,2.7,NAN,NAN
29,8.9,7,1.9,NAN,NAN
30,8,7.8,2.1,NAN,NAN
30,7.5,7.7,1.2,NAN,NAN
28,8.5,7.6,2,NAN,NAN
29,8.4,7.5,1.9,NAN,NAN
30,8.7,7.2,3.2,NAN,NAN
29,6.5,7.7,8.2,NAN,NAN
28,8.6,7.5,4.6,NAN,NAN
28,8.9,7.5,1.2,NAN,NAN
30,9.8,8.4,1.2,NAN,NAN
28,7.6,7.5,1.3,NAN,NAN
29,8.7,7.6,1.2,NAN,NAN
28,8.4,7.4,2.4,NAN,NAN
29,8.7,7.6,2.5,NAN,NAN
32,8.2,7.4,1.9,NAN,NAN
32,8,7.2,1.4,NAN,NAN
30,8.4,7.6,1.5,NAN,NAN
29,9.4,7.8,1,NAN,NAN
31,8.1,8,2.4,NAN,NAN
29,8.1,8,1.8,NAN,NAN
30,8.7,7.6,2.6,NAN,NAN
29,8.7,7.6,1.9,NAN,NAN
30,9.2,7.6,1.9,NAN,NAN
29,8.3,7.7,2,NAN,NAN
29,5.9,7.1,6.6,NAN,NAN
30,4.3,7.4,12.3,NAN,NAN
29,8.2,7.1,3.3,NAN,NAN
28,11.1,7.6,3.6,NAN,NAN
29,7.4,7.1,2.7,NAN,NAN
28,8.2,7.6,2.1,NAN,NAN
29,8.5,7.5,3.6,NAN,NAN
28,11.4,7.2,1,NAN,NAN
29,8.9,7.6,1.7,NAN,NAN
30,9.3,7.6,2.3,NAN,NAN
28,9.1,7.3,3.9,NAN,NAN
28,7.9,7.3,0.8,NAN,NAN
29,8.7,7.4,2.2,NAN,NAN
30,8.1,7.3,2.2,NAN,NAN
30,8.2,7.4,2.2,NAN,NAN
25,7.7,7.2,1.8,2.67,22
25,7.6,7.2,2.5,2.41,20
25,9.9,7.2,1.5,2.31,21
24,7.6,7.4,2.1,2.89,276
22,5.5,2.9,6.8,1.12,18
16,7.6,7,1.3,3.01,11
17,7.7,7.1,1.4,2.89,9
23,8.3,7,1.7,2.86,16
25,6.9,2.6,3.2,1.17,3
25,7.7,6.3,2.1,3.88,180
25,8.8,7.3,1.5,1.62,15
25,7.3,7.3,2,1.65,17
20,7.5,7,1.7,2.2,18
22,7.8,7.1,1.6,2.62,15
20,7,7,2.4,3.03,1967
21,7.5,6.3,1.7,0.82,7
16,6.4,6.9,2.6,3.88,227
17,7.5,7.1,1.4,2.88,12
17,8,7.1,1.4,3.35,10
24,7.9,7.3,1.7,5.02,295
18,7.5,6.9,1.9,4.92,20
18,7.9,7.2,1.7,2.72,20
18,8,7.2,1.4,2.47,5
25,7.7,7.1,1.5,3.42,16
19,7.2,7.1,1.6,2.86,17
21,8.2,7.1,1.2,2.81,15
21,7.8,7.1,1.5,2.97,19
18,3.9,7.1,16.9,16.61,16500
18,4.9,7.1,14.2,11.61,10417
19,2.7,7.1,35.4,14.84,41000
19,2.5,7.1,37.2,11.81,53083
18,8,7,1.4,3.8,17
24,8.4,7.1,1.2,3.08,18
17,6.8,6.6,1.9,3.07,18
18,2.1,7,45.6,10.61,51250
19,4,7.1,22.4,10.47,29500
24,7.7,7.2,6.6,3.02,285
22,7.6,7.1,2,2.6,37
20,7.7,7.1,1.6,3.93,8
20,7.7,7.1,1.9,3.89,11
24,6.5,7.4,1,0.13,26
24,6.3,7.5,0.9,0.14,5
24,6.5,7.2,1.1,0.17,33
24,6.9,6.9,1.1,0.18,38
28,6.6,7.8,1.6, ,268
28,6.4,8,3.9,0.5,512
27,6.5,8,4.2,0.99,488
29.1,6.7,7.7,5,1.31,NAN
27,4.2,7.9,18,7,NAN
28.1,4.6,8,158.8,6.88,35
29.1,4.8,7.8,164,3.42,NAN
27.7,6.7,8.5,NAN,3.1,NAN
27.1,6.7,8.3,NAN,NAN,NAN
27.1,6.8,7.8,NAN,NAN,NAN
27.3,6.8,8.5,NAN,0.11,NAN
27,4.2,8.2,42,NAN,NAN
27.6,7.1,7.3,1.4,0.84,3
28.2,5,8.3,4.1,1.48,7
28,6.7,8,1.5,0.18,1500
28.5,5.8,7.7,2.5,0.22,1900
29.5,5.9,7.6,3.9,0.07,1200
27,7.6,7.7,10,0.34,23
29.5,6,7.7,3.6,3.12,900
27,4.3,8.4,6.5,1.68,5
26.7,3.7,8.2,4.3,1.66,6
27,4.6,7.2,4,0.33,900
26.8,6.2,8.4,1.3,0.24,NAN
28.7,6.8,6.5,1.1,0.42,8
29.3,6.6,7,1.1,0.27,8
28.8,6,6.2,1.5,0.28,9
28.3,5.9,6.6,1.1,0.18,8
25.8,7.3,6.1,0.9,0.33,6
28.3,7.3,5.9,1.5,0.22,8
27.8,6.7,6.3,2,0.44,10
26,6.8,6.2,1.6,0.18,9
27.8,7.1,5.9,1.8,0.28,9
26.3,7.4,6.2,1.3,0.41,11
25.7,7.3,6.2,1.2,0.33,9
29,7.3,5.9,1.3,0.27,6
26.9,6,5.9,1.8,0.31,10
27,6.1,6.5,2,0.43,9
27.5,6.2,6.3,1.8,0.31,7
28.3,7,6.5,0.9,0.22,7
29,7.3,6,1.6,0.11,8
28.2,7.1,7.9,3.3,0.42,65
NAN,7.1,7.7,4.4,0.32,NAN
27.4,7,8,3.5,0.49,40
27.3,7,8,3.3,0.46,33
28.5,5.7,7.4,6.3,1.47,400
28.4,5.9,7.6,4.9,2.47,23
28.4,7,7.7,3.8,0.4,131
28.9,6.2,7.4,5.1,0.95,209
28.2,5.9,7.8,6.8,1.61,114
28.9,7.2,7.9,3.2,0.42,164
27,3.2,7.4,46,1.67,908
27.9,6.8,7.8,2.6,1.99,2
26.8,6.9,7.5,3.2,0.55,252
27.2,6.9,7.5,3.4,0.54,149
26.8,6.1,6.9,4.2,3.1,65
26.9,6.8,7.4,3.2,0.86,51
26.8,6.7,7.4,3.2,0.75,45
26.9,6.6,7.4,5,0.74,67
26.9,6.7,7.5,3.6,0.73,85
26.2,7.1,7.9,3.2,0.45,74
27.4,6,7.4,59.1,3.08,4
26.4,6.7,7.7,2.3,2.04,5
26.7,6.3,7.9,2.5,2.32,2
27.3,6.3,7.9,2.4,6.41,4
27.4,6.3,7.7,4.4,5.37,4
27.6,7,8.3,3.8,0.48,44
27.5,7,8.3,3.6,0.44,47
27.5,7.1,8.3,3.2,0.48,67
26.9,6.8,8.2,4.3,0.45,28
25.9,6.8,7.8,3.4,0.5,601
25.9,7,7.8,3.4,0.44,42
26,6.9,7.8,3.3,0.76,85
26.9,6.8,8.2,4,0.49,49
24.8,6.7,7.8,2.5,0.83,2
26.2,6.7,7.8,2.5,0.77,2
25.3,6.9,7.7,2.2,0.93,2
26.6,7.1,6.9,0.5,0.25,278
26.8,6.6,6.9,0.9,0.49,223
26.6,6.9,7.1,0.8,0.18,46
26.8,7.2,7,0.8,0.16,94
29.3,6.3,6.9,1.3,0.99,750
25.4,7.2,7.4,0.9,0.46,1325
25.5,6.9,7.5,0.8,0.55,1000
26.6,6.5,6.9,1.3,0.47,468
24.7,7.1,7.1,0.6,0.4,283
24.8,7.1,7.1,0.6,0.35,229
28,7.5,7.2,0.6,0.15,285
27.4,2,6.8,2.4,2.3,1525
26,5.6,7,1.2,0.41,725
27.4,7.1,7,0.6,0.64,338
26.5,6.1,7,0.8,0.66,500
28.4,6,7,1.1,0.13,183
28.8,6.5,7.5,0.8,0.08,275
26.7,1.5,6.6,3.6,0.92,881
26.4,2,6.8,2.4,0.2,456
26.5,7.2,7.1,0.6,0.15,298
25.5,4,7.5,1.1,0.76,945
28,7.2,7.3,0.9,0.25,330
28,0.8,7.1,11.9,1.87,4250
27.9,6.4,6.5,1.3,0.34,255
28.1,6.3,6.8,1.2,0.16,73
28.6,5.4,6.6,1.6,0.27,335
25.3,5.8,7.8,1,0.24,993
28.3,6.6,7.2,1.1,0.13,88
26.1,7.7,7.2,1,0.28,29
24.3,7.1,7,0.4,0.11,73
26,7.3,7.2,0.6,0.19,160
28.5,7.8,7.1,0.7,0.87,875
26.6,7.3,7.1,1.3,0.41,415
26.8,7,6.6,1.5,0.49,500
28,6,7.2,0.7,0.38,765
26.2,6.8,6.6,0.5,0.44,1225
28.5,5.6,7.1,0.6,0.58,433
26.5,7,7,1.1,0.43,768
29.3,6.7,6.9,0.5,0.22,308
29.3,6.2,7.2,0.8,0.39,830
27,7.3,7.2,0.8,0.95,525
27.3,7.6,7.2,0.6,0.65,463
27.9,6.4,6.8,0.5,0.42,175
27.8,7,6.6,0.6,0.75,295
27.8,6.7,6.8,1.2,1.21,310
28.3,6.7,6.6,0.9,1.35,428
27.5,5.6,6.9,1.5,0.4,655
26.3,7.4,7,0.9,0.26,386
27,6.7,6.9,1,0.3,1043
27.4,7.1,7.3,1.5,0.36,595
27,6.2,6.8,1.6,0.39,1129
27.4,5.2,6.8,1.8,0.33,1123
27.3,6.8,6.9,1.1,0.24,349
27,6.8,6.9,0.9,0.45,39
27.8,6.2,6.6,0.7,0.21,715
28.4,4.5,6.5,1.1,0.34,400
28.8,4,7,0.9,0.03,98
28.8,7,7.4,1,0.12,230
25.9,6.5,6.8,0.5,0.24,303
28,4.6,6.9,0.6,0.11,168
28.5,6.6,7.3,0.6,0.71,1326
28.8,7.1,7,1,0.78,750
27.6,6.2,7.5,1.1,1.62,3
27.6,6.2,7.7,1.3,2.41,3
28.3,7.3,7.1,2.9,1.17,100
27.5,7.7,7.4,1.4,0.64,378
30.5,6.5,7.3,1,2.6,236
29.5,6.9,7.4,1,1.28,46
22.3,7.5,8,1.9,0.39,3005
22.3,7.2,8,3.7,0.63,6625
25,7,7.6,1.6,0.67,1081
25.9,7.5,7.9,1.5,1,1615
25.9,7.1,7.7,2.3,1.73,2882
24.8,7.4,8,1.7,0.65,3113
27.5,8.1,8,2.3,0.45,2272
28,7.8,8,2.1,0.59,277
25,7.4,8,1.5,0.53,1356
25.8,7.2,8,1.4,0.57,677
26.8,6.5,8.1,1,0.65,NAN
31,3,8.1,NAN,0.1,NAN
32,6.9,8.2,NAN,0.02,NAN
31,6,8,NAN,0.07,NAN
28,4.8,7.7,NAN,0.34,NAN
28.4,6.3,7.6,1.8,0.24,738
24,7.4,7.6,1.2,0.09,NAN
NAN,6.9,7.8,3.4,1.21,NAN
24.8,5.8,7.2,8.5,3.83,1089
24,5.6,7.4,15.3,15,16750
25,5.4,7.3,10,4.2,4278
23.3,5.7,7.3,14.3,13.75,20250
25.8,5.7,7.5,24,14.18,7863
25.8,3.5,7.4,20,13.2,8000
25.8,3.2,7.6,27.3,19.2,20250
26,4.7,7.3,32.8,16.4,14388
26,4.8,7.4,16,5.03,3138
24.4,5.3,7.5,18.3,15.8,27000
23.4,5.6,7.5,34.5,12.15,22000
24.3,5.4,7.4,22,8.3,10000
17.7,6.1,6.8,14.7,NAN,NAN
17,6.1,6.8,14.7,NAN,NAN
17.3,6,7,15.3,NAN,NAN
28,4.8,7.9,3.2,0.68,6
32,5,7.3,2.8,0.14,4
21.4,8.3,7.6,1,0.49,9
22.3,8.2,7.7,1.2,0.48,11
18.3,3.1,7.8,195.4,4.78,NAN
22.8,8.3,7.6,1.2,0.51,12
21.8,5.5,7.6,7.6,1.02,81
26.9,5.1,7.8,1.7,0.26,6
27.3,5.3,7.8,1.7,NAN,NAN
19,8.7,7.1,4.9,NAN,NAN
26,5.1,7.2,1,NAN,NAN
19,10,7.4,0.6,NAN,NAN
21.8,5.9,7,1.6,NAN,NAN
22.3,6.1,7.3,1.4,NAN,NAN
22.3,5.6,7.1,1.4,NAN,NAN
22.3,4.7,7,1.9,NAN,NAN
23,5.5,8.6,4.5,NAN,NAN
23,6.8,6.8,1.5,NAN,NAN
23,7,7.4,1,NAN,NAN
23,7.3,7.8,1.2,NAN,NAN
22,5.5,7.3,1.2,NAN,NAN
22.3,4.7,7.4,1.6,NAN,NAN
27,4.9,7,1.2,NAN,NAN
30,5.8,7.8,6.2,NAN,NAN
23,5.8,7.4,1,NAN,NAN
23,6.2,6.9,2.1,NAN,NAN
22.7,5.5,7.7,1.2,NAN,NAN
23,5.1,6.9,2.3,NAN,NAN
23.5,5.2,7.1,2.8,NAN,NAN
23,4.6,7,2.8,NAN,NAN
23.5,5.6,6.6,1.9,NAN,NAN
23,1.9,6.8,15.3,NAN,NAN
23,2.5,7.1,16.7,NAN,NAN
22.5,5.5,6.9,2.8,NAN,NAN
23,6,7,4.2,NAN,NAN
22.5,4.9,6.9,3.6,NAN,NAN
20,4.8,7,2.8,NAN,NAN
22.7,5.4,7.2,1.1,NAN,NAN
26,6,7.5,1.1,NAN,NAN
19,5.6,7.1,4.4,NAN,NAN
22.5,5.7,6.9,2.3,NAN,NAN
18.9,9.9,7.1,1,NAN,NAN
21,6.1,7.6,4.5,NAN,NAN
22.5,5.1,6.9,2.5,NAN,NAN
23,3.8,7,3,NAN,NAN
24.4,7.8,7.2,1.9,0.56,263
21.8,6.5,3.1,6.1,0.52,32
20.8,7.3,7,2.2,0.69,2085
25.2,7.8,7.1,1.9,0.52,303
24,7.7,7.1,7,0.84,303
23.4,8.1,7.1,1,0.11,2
23.4,8,7,1.1,0.11,3
23.2,6.9,7.2,1.1,0.11,6
23.3,6.8,7.1,1.3,0.11,8
28.4,6.6,7.8,1.8,NAN,209
28.6,6.3,8,3.4,0.3,380
28.5,6.6,7.9,4.4,0.8,425
29.9,5.6,7.5,25,18.73,5
29.9,3.7,7.5,13.5,25.71,NAN
29.8,4.7,7.6,21.5,19.69,NAN
30.2,5.8,7.8,NAN,2.61,NAN
29.7,6.6,7.7,NAN,2.66,350
30.1,6.6,7.4,NAN,3.6,NAN
30.3,6.2,7.8,NAN,3.67,4
29.8,5.8,7.7,NAN,10.45,4
26,5.1,8.1,3.7,0.45,3900
27,7.1,8,2,0.35,7500
27,6.8,8.2,3.1,0.62,9000
29.3,8.1,7.6,8.6,0.4,22
28.4,6.2,7.8,2.7,0.26,2880
32,NAN,7.2,46,0.2,80
28.3,3.2,7.7,6.3,0.51,3900
29.3,6.6,6.5,1.8,0.87,0
28.8,6.6,6.6,1.5,0.65,4
29,6.3,6.6,1.8,0.36,8
28.8,6.4,6.4,2,0.44,15
27.3,6.9,6.2,1.7,1.07,7
28.3,7.2,6.1,2.6,0.92,8
29,6.9,6.6,1.9,0.83,17
27.6,7,6.3,1.6,0.42,8
28.8,7.6,6.2,1.1,0.38,12
28.3,7.1,6.2,1.4,0.56,7
27.8,6.8,6,1.9,0.75,9
28.5,7.1,6.2,1.4,0.68,6
28.1,6.3,6.2,1.5,0.59,8
29,6.2,7,1.8,0.46,11
29.5,6.2,6.8,1.7,0.61,8
30.2,6.9,6.5,1.4,0.6,10
28.3,6.7,6.2,0.9,0.57,8
28.7,6.8,7.9,3.5,0.58,286
26,7,7.7,3.2,0.13,8
NAN,6.9,7.3,3.4,0.19,NAN
NAN,7.4,7.2,3,0.23,NAN
24,7,7.4,4,2.16,95
32.1,5.5,8.1,8.4,2.15,16
30.3,6.9,7.5,3.6,0.4,316
30.1,6.4,7.4,37.8,1.79,413
28.8,5.2,7.9,9.5,1.1,126
28.7,6.9,7.4,3.5,0.27,482
29,3.4,7.4,31.5,3.32,1767
28.5,7.4,8.1,2.2,0.15,3
27.7,6.7,7.4,3.7,0.4,514
28.6,6.6,7.5,3.9,0.4,129
27.1,6.1,7.3,5.1,2.02,82
27.1,6.6,7.4,3.6,0.46,172
27,6.5,7.3,3.8,0.79,108
26.8,6.7,7.3,3.4,0.57,133
26.8,6.6,7.4,3.7,0.53,147
26.4,6.8,7.7,3.6,0.43,38
22.1,6.3,7.5,2.9,1.93,5
22.3,7.1,7.4,2.2,0.63,4
22,6.7,7.5,2.5,1.47,4
22,6.6,7.5,2.4,0.3,6
22,6.7,7.8,2.4,1.02,3
28.2,7.1,7.7,3.1,0.53,41
28.2,7.1,7.9,3.1,0.47,31
28.3,7.1,7.8,3.3,0.44,33
NAN,7.2,7.5,4,0.15,NAN
26.3,6.4,7.7,3.6,0.77,504
26.1,7,7.7,3.4,0.42,179
26,6.6,7.6,3.4,0.68,97
NAN,7.5,8.2,3.5,0.14,NAN
27.6,6.9,7.5,2.2,0.42,2
27.6,6.8,7.7,2.3,1.33,3
27.3,7,7.7,2.1,0.5,3
27.4,5.2,6.6,1.5,0.38,644
27.3,7.2,6.8,1.1,0.24,513
26,7,7.1,0.5,0.44,385
26.2,7,7.1,0.6,0.34,240
27.5,7.2,7,0.6,0.26,285
28.1,6.7,6.9,1.2,0.46,385
28.2,6.5,6.5,1.1,0.52,610
27.6,0.6,7,14.1,1.49,8542
28,6.6,6.8,0.9,0.56,448
24.3,6.8,7.3,0.6,0.4,598
25.8,7.3,7.4,0.6,0.44,245
27.8,6.5,6.7,1.2,0.26,562
26.3,7.2,6.5,0.9,0.46,1225
28.5,7.4,6.9,0.9,0.56,575
29.3,6.5,6.5,1,1.62,420
27.6,6.6,6.9,0.9,0.37,319
28.1,7.1,7,1,0.66,985
27.8,7.5,6.8,1.3,0.6,178
28.1,5.4,6.7,0.9,0.42,463
26.6,7,6.9,0.7,0.45,465
27.8,7.1,6.9,0.6,0.73,300
29.3,6.5,6.7,0.9,1.25,370
28,6.7,6.6,0.8,0.12,295
23.8,7.1,6.8,0.6,0.22,86
26.3,6.9,7.1,0.5,0.33,225
27.9,6.7,6.8,1,0.53,108
28.4,6.2,7,1.4,0.27,670
27.1,7.5,7.3,0.8,0.31,1253
28.5,7.6,7.3,1,0.63,1175
28.1,2.2,6.4,2.3,1.29,1125
26.4,7.4,6.7,0.7,0.51,281
27.1,7,6.8,0.7,0.43,225
26.9,5.3,6.9,1.3,0.66,305
28.6,6.3,7,0.7,0.85,230
27.9,6.7,7,0.5,0.29,208
28.4,6,6.4,1.4,0.61,193
29,4.2,6.6,1.7,0.56,253
28.8,5.1,6.7,1.9,0.63,405
27.8,5.3,6.4,1.1,0.11,345
28.5,6.9,7,0.9,0.08,300
26,2.8,7.4,1.6,0.47,1050
26.5,5.3,7.2,0.9,0.26,1600
28.4,6.5,5.8,0.4,0.54,123
28.1,6.9,6.1,0.6,0.49,73
26.8,7,6.6,0.8,0.42,123
28.6,5.6,6.4,1,0.4,165
28.1,6.8,6,0.5,0.25,590
29,6,5.9,1,0.63,73
28.8,6.3,7,1.4,0.22,963
28,6.5,7.6,1.1,2.41,3
27.4,6.4,7.7,1.1,3.34,3
28.8,7.3,7.3,4.2,2.43,116
30.8,6.8,7.8,1.9,0.67,145
28,7.5,8.1,2.1,0.4,3390
27.3,7.7,8.1,1.6,0.71,1930
29,7.6,7.9,1.4,0.13,1188
24.5,7.5,7.9,1.8,0.45,1225
24.8,7.4,7.7,1.9,0.3,1300
25.3,6.7,6.9,1.2,0.32,953
26.8,7.1,7.9,1.4,0.48,1065
29,6.7,7.9,1.1,0.24,735
29,7.4,8.8,2,0.05,NAN
28,6.4,8.3,2,0.05,NAN
28,6.9,8.8,4,0.05,NAN
28,6.3,6.6,NAN,NAN,NAN
24.8,7.4,7,1.6,0.05,78
27.2,7.2,6.8,1.8,0.09,78
27.3,6.6,7,2.5,0.33,233
28.4,6.9,7,1.9,0.25,83
26.8,7,6.9,1.7,0.4,87
25.2,7.2,6.9,1.5,0.2,83
28.4,6.9,7.2,2.3,0.13,108
28.2,6.4,7.6,3.3,0.4,253
24,7.6,6.6,2,1.8,90
29,6.9,7.2,1.9,0.49,60
25,6.8,6.7,2.1,1.84,280
25,6.6,6.9,2.3,0.59,110
15,6.5,7.6,18,12,NAN
23.5,6.1,7.8,16,14,NAN
NAN,6.5,8.4,2.7,0.62,NAN
15,6.9,7.8,18,16,NAN
20.3,5.6,6.7,10.8,2,1825
20,4.9,6.8,26.5,4.8,14000
20,4.9,6.6,13.1,2.6,2875
19.8,5.2,6.7,28,5.9,17500
32.7,3.3,7.9,1.3,0.97,5
34.5,4.9,8,1.2,0.35,4
19.8,5,6.9,25.5,3.8,15500
27,4.8,7.8,534.5,3.75,2200
20.5,4.7,6.7,25.3,7.7,23500
20.5,5.4,6.8,15.4,5.1,9500
20.5,5.1,7.6,26.5,6.6,20250
21,4.2,7.6,31.8,7.6,20000
20.3,4.8,6.6,15,3.3,6000
20,4.5,6.6,30.3,4.1,21000
20,4.7,6.7,26.8,3.7,13250
21.3,5.2,7.3,0.9,0.59,4
22.1,7.8,8.2,1.2,0.1,16
22.33,6.7,8.12,1.53,0.15,10
21.5,8,8.1,0.8,0.1,12
24,4.88,7.94,2.65,NAN,NAN
22,5.67,7.02,1.67,NAN,NAN
24,6,6.9,2.23,NAN,NAN
23,6.15,7.45,2,NAN,NAN
23,2.7,7.35,8.45,NAN,NAN
24,2.98,7.52,5.53,NAN,NAN
24,5.48,7.42,2.08,NAN,NAN
23,5.13,7.46,2.23,NAN,NAN
25,7.85,7.13,6.68,3.35,345
24,6.58,6.5,5.93,4,40
20,7.58,7.03,2.08,2.65,2350
24,8.23,7.05,1.4,3.2,243
25,8.23,7.38,1.55,3.55,255
22,6.6,7.3,1.3,NAN,8.5
22,6.8,7.2,1.5,NAN,NAN
23,6.8,7,1.5,NAN,8
23,6.4,6.7,1.4,NAN,19
28,6.5,7.7,1.6,NAN,302
28,6.2,7.7,3.5,0.2,532
29,6.3,8,4.2,0.3,524
28,7.3,7.4,0.7,0.3,6
29,6.5,7.5,16.4,0.4,15
30,6.1,7.3,12.5,18.6,180
30,6.3,7.4,136,16.9,158
30,5.9,7.5,56.5,7.7,180
30,6.6,7.8,NAN,4.1,180
30,6.2,7.4,8,3.2,265
30,6.7,7.7,4,2.6,137
33,6.8,8,21,1.5,180
30,5.9,7.4,12,58.1,7
28,7.3,7.4,0.7,0.3,6
30,5.7,8,7.4,0.5,14600
30,4.7,8.3,3.7,0.5,9166
28,5.8,7.8,3,0.5,10100
30,2.5,7.5,6,0.6,16
30,6.1,8.1,3.2,0.3,4300
30,0.6,7.1,36.5,1.7,4450
27,3.2,7.8,5.8,0.2,833
30,4.2,8.2,6.7,0.4,9750
28,2.9,8.3,5.6,0.1,49
29,5,7.7,3.1,0.1,41
31,7.2,6.3,1.6,0.41,13
29,5.5,7.8,1.3,0.21,2
30,6.2,6.9,1.3,0.48,13
29,6.5,6.8,2.3,0.04,5
24,8.1,7.7,2.6,0.1,79
27,7.8,6.4,2.3,0.08,49
27,7.8,6.4,2,NAN,13
28,7.2,6.5,1.6,0.25,17
27,4.2,7.6,0.7,0.18,2
26,6.5,6.4,1.6,0.13,8
28,7.4,6.9,2,0.15,5
28,5.4,7,1.7,0.92,29
27,6.6,7.2,1.9,0.34,105
29,5.1,7.5,2.3,0.38,1201
29,7.3,6.8,2.5,0.42,87
28,7.2,6.9,2.2,0.28,134
28,7,6.8,3,0.32,69
28,5.5,7.7,7.6,0.72,410
29,6.9,7.6,3.8,0.26,143
29,6.9,7.7,3.9,0.37,207
28,6.7,8,3.6,0.31,45
26,6.9,7.3,3.8,0.68,108
29,6.8,7.5,3.8,0.34,88
29,6.9,7.3,2.2,1.25,2
34,3.3,7.6,19.4,1.78,1195
32,5.4,7.2,11.7,0.78,279
22,6.2,7.2,2.5,4.11,6
26,7,7.4,3.8,0.26,152
35,6.6,8.1,3.9,0.26,165
28,8.1,6.3,1.1,0.31,100
27,6.9,6.8,0.8,0.22,261
27,6.9,6.9,0.5,0.23,393
26,6.7,6.9,0.6,0.28,433
27,7.3,7,0.7,0.66,228
28,6.7,6.7,1.3,0.4,309
29,6.5,6.6,1.2,0.37,142
26,0.7,6.6,12.5,1.48,40833
27,6.9,6.5,1,0.42,540
28,6.4,6.6,1,0.25,154
26,7.2,6.7,0.8,0.44,1000
29,6.8,7.1,1.5,0.5,130
28,6.1,6.7,0.9,0.33,655
27,6.8,7,0.6,0.93,240
28,7.1,7,0.8,0.71,540
27,7.4,6.6,0.7,0.29,288
26,6.4,7,0.8,0.73,271
26,7.2,6.7,0.9,0.28,335
27,6.2,7,0.6,0.93,282
29,6.1,6.7,1.4,0.55,825
28,6.6,6.5,0.8,0.13,195
26,6.9,6.7,0.3,0.2,40
27,7.3,6.5,0.5,0.21,233
28,6.2,6.6,1,0.93,233
29,5.2,7.1,1,0.13,518
28,7.4,7,1.1,0.11,1043
28,7.6,6.7,1.1,0.11,613
28,2.9,6.3,2,1.07,430
26,6.6,6.7,0.7,0.32,463
26,6.4,6.7,0.7,0.34,343
26,5.4,6.6,0.9,0.26,240
27,6.2,7,0.9,1.05,162
27,6.9,7.1,0.5,0.26,125
28,6.7,6.5,0.9,0.6,265
28,5.7,6.7,1.9,0.35,221
28,6,6.9,1.8,0.61,290
28,5.2,6.1,1.1,0.14,235
28,7.4,6.4,1.2,0.12,280
27,3.5,7.3,1.3,0.62,560
27,6,7.1,1.1,0.14,750
28,6.4,6.1,0.7,0.28,213
27,6.6,6.3,1,0.16,248
27,7.1,6.4,0.9,0.13,178
28,6.4,7.1,0.8,0.19,110
28,7.3,6.2,0.9,0.21,195
29,6.8,6.5,0.8,0.26,53
28,6.4,6.7,2.2,0.12,820
27,5.8,6.5,1.5,0.13,1800
28,5.2,7.2,1.2,0.18,843
27,7.7,6.8,0.9,0.08,1740
28,5.7,7.2,1.4,0.09,1845
25,6.7,6.3,1.2,0.2,1583
28,6.4,6.4,1.2,0.13,168
27,6.2,7.6,0.4,0.28,613
27,6.8,7.5,0.4,0.18,478
27,7.1,7.6,0.5,0.19,710
28,5.9,6.7,1.7,0.5,74
28,5.8,6.5,1.5,0.37,199
29,4.7,6.6,1.8,0.26,234
28,6.5,6.6,1.2,0.24,175
28,1.4,6.2,2.2,0.48,351
28,1.5,6.3,1.5,0.12,298
28,7,7.5,1.1,2.3,3
30,7.7,8.1,1.9,0.9,1675
30,7.5,7.9,1.3,0.6,613
28,7.2,8.2,1.7,1.7,2600
28,7.6,8.1,1.5,0.5,2360
28,7.3,8,1.3,0.5,1295
27,7.4,8,1.9,0.2,2950
27,7.2,7.7,2,0.7,1550
29,7.2,7.8,1.3,0.4,328
28,7,8.1,1,0.4,785
29,7.4,8.1,1.7,0.5,505
33,7.7,7.8,4,11,NAN
33,7.1,7.6,3,15.8,NAN
33,6.8,7.4,7,15.3,NAN
28,5.1,8.4,3,108.7,NAN
21,7.6,7.9,2.6,1.4,NAN
24,7.4,6.8,1.3,0.1,115
28,7.5,6.7,1.3,0.1,100
28,6.9,6.8,2.4,0.1,222
